case index 1 = {
los index, 0
num freq, 1298
num column, 15
Freq,  combin,  path,  path thermal,  surface,  path multiple,  sing,  grnd,  drct,  total,  irrad,  irrad,  - nat log,  direct,  ToA,  bbody
[cm-1],  path trans,  emission,   scat,   emission,   scat,  scat,  rflt,  rflt,   rad,   ref,  @obs,  path trans,  emiss,  irrad,  temp[K]
3180, 0.107645, 2.47019e-09, 8.63755e-11, 6.83906e-10, 1.28572e-11, 3.07951e-10, 6.47643e-10, 5.98762e-10, 4.20893e-09, 3.927e-08, 2.13969e-06, 2.22892, 0.941553, 2.13969e-06, 285.531
3195, 0.192228, 2.43788e-09, 1.22118e-10, 1.15123e-09, 4.55796e-11, 4.55907e-10, 1.71069e-09, 1.60756e-09, 5.9234e-09, 1.05699e-07, 2.15665e-06, 1.64907, 0.941701, 2.15665e-06, 292.865
3210, 0.103143, 2.20007e-09, 7.26252e-11, 5.82232e-10, 1.1421e-11, 3.03415e-10, 5.76769e-10, 5.34571e-10, 3.74653e-09, 3.52372e-08, 2.17177e-06, 2.27163, 0.941847, 2.17177e-06, 285.648
3225, 0.0314885, 1.84524e-09, 3.01209e-11, 1.67528e-10, 1.47137e-12, 1.81361e-10, 9.69303e-11, 8.66723e-11, 2.32266e-09, 5.72743e-09, 2.19442e-06, 3.45813, 0.941992, 2.19442e-06, 278.506
3240, 0.038647, 1.72183e-09, 3.08574e-11, 1.93779e-10, 1.85106e-12, 1.89271e-10, 1.51683e-10, 1.39592e-10, 2.28928e-09, 9.24733e-09, 2.21143e-06, 3.25329, 0.942136, 2.21143e-06, 279.325
3255, 0.101292, 1.86435e-09, 5.73664e-11, 4.78618e-10, 1.05303e-11, 3.03947e-10, 6.00274e-10, 5.64351e-10, 3.31508e-09, 3.74778e-08, 2.23106e-06, 2.28975, 0.942278, 2.23106e-06, 286.742
3270, 0.0358135, 1.52874e-09, 2.51419e-11, 1.59462e-10, 1.59391e-12, 1.85573e-10, 1.44517e-10, 1.34576e-10, 2.04502e-09, 8.95888e-09, 2.2474e-06, 3.32943, 0.942419, 2.2474e-06, 279.559
3285, 0.0515961, 1.55591e-09, 3.02859e-11, 2.1647e-10, 2.7555e-12, 2.17916e-10, 2.431e-10, 2.28938e-10, 2.26644e-09, 1.52777e-08, 2.22606e-06, 2.96431, 0.942559, 2.22606e-06, 282.335
3300, 0.143942, 1.57593e-09, 5.77123e-11, 5.68994e-10, 2.10505e-11, 3.61442e-10, 1.29982e-09, 1.24813e-09, 3.88495e-09, 8.34923e-08, 2.27979e-06, 1.93835, 0.942697, 2.27979e-06, 292.812
3315, 0.101319, 1.40997e-09, 4.08047e-11, 3.77334e-10, 9.51585e-12, 2.88973e-10, 7.8239e-10, 7.5231e-10, 2.90899e-09, 5.04458e-08, 2.30485e-06, 2.28948, 0.942834, 2.30485e-06, 288.749
3330, 0.0905976, 1.31734e-09, 3.45251e-11, 3.17861e-10, 7.29333e-12, 2.77758e-10, 7.07559e-10, 6.82788e-10, 2.66234e-09, 4.58932e-08, 2.32314e-06, 2.40133, 0.94297, 2.32314e-06, 288.273
3345, 0.223058, 1.31085e-09, 6.35822e-11, 7.37254e-10, 5.56058e-11, 4.65892e-10, 2.57292e-09, 2.47757e-09, 5.2061e-09, 1.67046e-07, 2.34243e-06, 1.50032, 0.943146, 2.34243e-06, 301.492
3360, 0.00919483, 8.52913e-10, 6.89411e-12, 2.86286e-11, 3.59127e-13, 1.20246e-10, 1.77176e-11, 1.60459e-11, 1.02676e-09, 1.08543e-09, 2.36068e-06, 4.68911, 0.943333, 2.36068e-06, 274.678
3375, 0.116103, 1.2059e-09, 3.61196e-11, 3.40509e-10, 1.31445e-11, 3.2822e-10, 8.42322e-10, 8.10965e-10, 2.76621e-09, 5.50379e-08, 2.37939e-06, 2.15328, 0.943519, 2.37939e-06, 292.133
